Country,iso3c,year,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Coundation
Ecuador,ECU,2022,1.96,2.471,1.408,1.842,AMAN
Ecuador,ECU,2023,2.095,2.571,1.676,1.876,WASPADA
Egypt,EGY,2019,2.381,2.536,2.505,1.994,WASPADA
Egypt,EGY,2020,2.397,2.467,2.517,2.164,WASPADA
Egypt,EGY,2021,2.441,2.651,2.536,1.996,WASPADA
Egypt,EGY,2022,2.335,2.497,2.45,1.945,WASPADA
Egypt,EGY,2023,2.267,2.467,2.362,1.831,WASPADA
El Salvador,SLV,2019,2.222,3.115,1.448,1.73,WASPADA
El Salvador,SLV,2020,2.224,3.15,1.446,1.677,WASPADA
El Salvador,SLV,2021,2.18,2.983,1.444,1.796,WASPADA
El Salvador,SLV,2022,2.256,3.064,1.444,1.967,WASPADA
El Salvador,SLV,2023,2.279,3.048,1.448,2.082,WASPADA
Equatorial Guinea,GNQ,2019,1.876,2.231,1.403,1.943,AMAN
Equatorial Guinea,GNQ,2020,1.817,2.235,1.403,1.68,AMAN
Equatorial Guinea,GNQ,2021,1.879,2.239,1.604,1.635,AMAN
Equatorial Guinea,GNQ,2022,1.9,2.252,1.604,1.698,AMAN
Equatorial Guinea,GNQ,2023,2.013,2.448,1.604,1.817,WASPADA
Eritrea,ERI,2019,2.548,3.416,1.747,1.969,WASPADA
Eritrea,ERI,2020,2.582,3.405,1.793,2.059,WASPADA
Eritrea,ERI,2021,2.567,3.365,1.793,2.069,WASPADA
Eritrea,ERI,2022,2.519,3.379,1.793,1.849,WASPADA
Eritrea,ERI,2023,2.505,3.428,1.787,1.709,WASPADA
Estonia,EST,2019,1.579,1.689,1.458,1.544,AMAN
Estonia,EST,2020,1.568,1.663,1.451,1.557,AMAN
Estonia,EST,2021,1.558,1.647,1.444,1.552,AMAN
Estonia,EST,2022,1.565,1.665,1.444,1.55,AMAN
Estonia,EST,2023,1.563,1.657,1.448,1.545,AMAN
Eswatini,SWZ,2019,1.887,2.426,1.403,1.627,AMAN
Eswatini,SWZ,2020,1.907,2.499,1.403,1.58,AMAN
Eswatini,SWZ,2021,1.888,2.452,1.403,1.587,AMAN
Eswatini,SWZ,2022,2.042,2.554,1.604,1.78,WASPADA
Eswatini,SWZ,2023,2.168,2.746,1.816,1.688,WASPADA
Ethiopia,ETH,2019,2.439,2.81,2.487,1.777,WASPADA
Ethiopia,ETH,2020,2.436,2.793,2.574,1.687,WASPADA
Ethiopia,ETH,2021,2.56,2.871,2.743,1.8,WASPADA
Ethiopia,ETH,2022,2.805,2.94,3.374,1.865,WASPADA
Ethiopia,ETH,2023,2.872,3.087,3.419,1.826,WASPADA
Finland,FIN,2019,1.393,1.285,1.256,1.796,AMAN
Finland,FIN,2020,1.361,1.263,1.249,1.708,AMAN
Finland,FIN,2021,1.406,1.405,1.243,1.646,AMAN
Finland,FIN,2022,1.439,1.347,1.444,1.587,AMAN
Finland,FIN,2023,1.399,1.251,1.448,1.585,AMAN
France,FRA,2019,1.829,1.754,1.256,2.767,AMAN
France,FRA,2020,1.94,1.897,1.409,2.767,AMAN
France,FRA,2021,1.923,1.901,1.336,2.78,AMAN
France,FRA,2022,1.918,1.875,1.353,2.773,AMAN
France,FRA,2023,1.939,1.872,1.416,2.769,AMAN
Gabon,GAB,2019,2.119,2.61,1.659,1.923,WASPADA
Gabon,GAB,2020,2.128,2.603,1.677,1.947,WASPADA
Gabon,GAB,2021,2.037,2.511,1.677,1.732,WASPADA
Gabon,GAB,2022,2.019,2.482,1.677,1.708,WASPADA
Gabon,GAB,2023,2.068,2.537,1.696,1.788,WASPADA
Georgia,GEO,2019,1.994,2.215,1.828,1.817,AMAN
Georgia,GEO,2020,2.022,2.298,1.817,1.801,WASPADA
Georgia,GEO,2021,2.011,2.277,1.805,1.808,WASPADA
Georgia,GEO,2022,2.061,2.409,1.805,1.78,WASPADA
Georgia,GEO,2023,2.071,2.452,1.805,1.745,WASPADA
Germany,DEU,2019,1.5,1.605,1.077,1.912,AMAN
Germany,DEU,2020,1.502,1.64,1.07,1.869,AMAN
Germany,DEU,2021,1.492,1.639,1.063,1.838,AMAN
Germany,DEU,2022,1.453,1.599,1.063,1.746,AMAN
Germany,DEU,2023,1.456,1.628,1.046,1.73,AMAN
Ghana,GHA,2019,1.776,1.938,1.54,1.854,AMAN
Ghana,GHA,2020,1.829,2.099,1.57,1.743,AMAN
Ghana,GHA,2021,1.794,2.049,1.575,1.679,AMAN
Ghana,GHA,2022,1.785,2.031,1.575,1.673,AMAN
Ghana,GHA,2023,1.799,2.057,1.616,1.625,AMAN
Greece,GRC,2019,1.9,1.871,1.828,2.102,AMAN
Greece,GRC,2020,1.844,1.758,1.817,2.085,AMAN
Greece,GRC,2021,1.898,1.914,1.805,2.038,AMAN
Greece,GRC,2022,1.843,1.773,1.805,2.061,AMAN
Greece,GRC,2023,1.89,1.857,1.805,2.114,AMAN
Guatemala,GTM,2019,2.193,2.876,1.641,1.8,WASPADA
Guatemala,GTM,2020,2.155,2.815,1.65,1.736,WASPADA
Guatemala,GTM,2021,2.166,2.817,1.641,1.794,WASPADA
Guatemala,GTM,2022,2.131,2.817,1.631,1.658,WASPADA
Guatemala,GTM,2023,2.13,2.83,1.641,1.621,WASPADA
Guinea,GIN,2019,2.029,2.484,1.477,2.045,WASPADA
Guinea,GIN,2020,2.036,2.566,1.494,1.899,WASPADA
Guinea,GIN,2021,2.063,2.529,1.517,2.042,WASPADA
Guinea,GIN,2022,2.4,2.622,2.329,2.187,WASPADA
Guinea,GIN,2023,2.359,2.659,2.15,2.183,WASPADA
Guinea-Bissau,GNB,2019,2.08,2.358,1.636,2.278,WASPADA
Guinea-Bissau,GNB,2020,2.014,2.331,1.631,2.057,WASPADA
Guinea-Bissau,GNB,2021,2.037,2.334,1.627,2.156,WASPADA
Guinea-Bissau,GNB,2022,2.088,2.429,1.618,2.21,WASPADA
Guinea-Bissau,GNB,2023,2.045,2.412,1.613,2.069,WASPADA
Guyana,GUY,2019,2.083,2.902,1.403,1.594,WASPADA
Guyana,GUY,2020,2.065,2.874,1.403,1.566,WASPADA
Guyana,GUY,2021,2.119,2.864,1.604,1.515,WASPADA
Guyana,GUY,2022,2.12,2.857,1.604,1.536,WASPADA
Guyana,GUY,2023,2.134,2.909,1.604,1.499,WASPADA
Haiti,HTI,2019,2.047,2.565,1.604,1.799,WASPADA
Haiti,HTI,2020,2.132,2.538,1.82,1.92,WASPADA
Haiti,HTI,2021,2.068,2.639,1.609,1.749,WASPADA
Haiti,HTI,2022,2.201,2.691,2.051,1.633,WASPADA
Haiti,HTI,2023,2.395,2.944,2.255,1.721,WASPADA
Honduras,HND,2019,2.221,3.006,1.403,1.984,WASPADA
Honduras,HND,2020,2.206,3.038,1.403,1.859,WASPADA
Honduras,HND,2021,2.308,3.08,1.604,1.945,WASPADA
Honduras,HND,2022,2.229,2.997,1.604,1.764,WASPADA
Honduras,HND,2023,2.265,3.046,1.604,1.825,WASPADA
Hungary,HUN,2019,1.568,1.871,1.476,1.146,AMAN
