Country,iso3c,year,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Coundation
Lesotho,LSO,2019,2.152,2.555,1.805,1.962,WASPADA
Lesotho,LSO,2020,2.088,2.475,1.805,1.839,WASPADA
Lesotho,LSO,2021,2.113,2.546,1.805,1.816,WASPADA
Lesotho,LSO,2022,2.082,2.553,1.805,1.675,WASPADA
Lesotho,LSO,2023,2.191,2.7,1.824,1.838,WASPADA
Liberia,LBR,2019,1.802,2.229,1.435,1.594,AMAN
Liberia,LBR,2020,1.824,2.295,1.439,1.562,AMAN
Liberia,LBR,2021,1.924,2.396,1.444,1.792,AMAN
Liberia,LBR,2022,1.97,2.418,1.444,1.944,AMAN
Liberia,LBR,2023,1.946,2.441,1.448,1.798,AMAN
Libya,LBY,2019,2.959,3.24,3.122,2.347,WASPADA
Libya,LBY,2020,2.99,3.306,3.103,2.358,WASPADA
Libya,LBY,2021,2.981,3.299,3.236,2.173,WASPADA
Libya,LBY,2022,2.807,3.1,3.064,2.041,WASPADA
Libya,LBY,2023,2.605,3.155,2.419,1.947,WASPADA
Lithuania,LTU,2019,1.67,1.832,1.439,1.683,AMAN
Lithuania,LTU,2020,1.652,1.824,1.437,1.628,AMAN
Lithuania,LTU,2021,1.649,1.81,1.435,1.647,AMAN
Lithuania,LTU,2022,1.658,1.79,1.444,1.713,AMAN
Lithuania,LTU,2023,1.671,1.753,1.448,1.835,AMAN
Madagascar,MDG,2019,1.768,2.221,1.453,1.423,AMAN
Madagascar,MDG,2020,1.816,2.326,1.481,1.394,AMAN
Madagascar,MDG,2021,1.851,2.326,1.49,1.529,AMAN
Madagascar,MDG,2022,1.846,2.344,1.49,1.475,AMAN
Madagascar,MDG,2023,1.846,2.347,1.504,1.449,AMAN
Malawi,MWI,2019,1.819,2.113,1.605,1.627,AMAN
Malawi,MWI,2020,1.912,2.265,1.742,1.576,AMAN
Malawi,MWI,2021,1.914,2.285,1.723,1.573,AMAN
Malawi,MWI,2022,1.934,2.146,1.797,1.796,AMAN
Malawi,MWI,2023,1.97,2.25,1.815,1.734,AMAN
Malaysia,MYS,2019,1.595,2.188,1.034,1.311,AMAN
Malaysia,MYS,2020,1.524,2.08,1.017,1.231,AMAN
Malaysia,MYS,2021,1.496,2.019,1.005,1.241,AMAN
Malaysia,MYS,2022,1.477,1.997,1.005,1.203,AMAN
Malaysia,MYS,2023,1.513,2.092,1.005,1.18,AMAN
Mali,MLI,2019,2.53,3.125,2.307,1.872,WASPADA
Mali,MLI,2020,2.555,3.07,2.523,1.785,WASPADA
Mali,MLI,2021,2.685,3.336,2.556,1.806,WASPADA
Mali,MLI,2022,2.805,3.344,2.826,1.905,WASPADA
Mali,MLI,2023,2.963,3.539,3.085,1.872,WASPADA
Mauritania,MRT,2019,2.228,2.898,1.691,1.825,WASPADA
Mauritania,MRT,2020,2.22,2.911,1.714,1.738,WASPADA
Mauritania,MRT,2021,2.27,2.883,1.719,1.991,WASPADA
Mauritania,MRT,2022,2.259,2.795,1.719,2.101,WASPADA
Mauritania,MRT,2023,2.228,2.78,1.742,1.966,WASPADA
Mauritius,MUS,2019,1.541,1.997,1,1.5,AMAN
Mauritius,MUS,2020,1.556,2.082,1,1.409,AMAN
Mauritius,MUS,2021,1.591,2.139,1,1.452,AMAN
Mauritius,MUS,2022,1.575,2.163,1,1.339,AMAN
Mauritius,MUS,2023,1.546,2.106,1,1.319,AMAN
Mexico,MEX,2019,2.46,3.229,2.072,1.723,WASPADA
Mexico,MEX,2020,2.565,3.206,2.481,1.669,WASPADA
Mexico,MEX,2021,2.625,3.218,2.638,1.689,WASPADA
Mexico,MEX,2022,2.616,3.141,2.648,1.776,WASPADA
Mexico,MEX,2023,2.599,3.133,2.657,1.707,WASPADA
Moldova,MDA,2019,1.919,2.364,1.842,1.242,AMAN
Moldova,MDA,2020,1.874,2.262,1.842,1.236,AMAN
Moldova,MDA,2021,1.847,2.217,1.824,1.231,AMAN
Moldova,MDA,2022,1.881,2.148,2.006,1.228,AMAN
Moldova,MDA,2023,1.873,2.125,2.006,1.234,AMAN
Mongolia,MNG,2019,1.763,2.388,1.224,1.39,AMAN
Mongolia,MNG,2020,1.751,2.38,1.213,1.376,AMAN
Mongolia,MNG,2021,1.757,2.383,1.201,1.407,AMAN
Mongolia,MNG,2022,1.759,2.413,1.201,1.361,AMAN
Mongolia,MNG,2023,1.765,2.442,1.201,1.336,AMAN
Montenegro,MNE,2019,1.81,2.276,1.426,1.545,AMAN
Montenegro,MNE,2020,1.821,2.31,1.414,1.546,AMAN
Montenegro,MNE,2021,1.799,2.215,1.403,1.64,AMAN
Montenegro,MNE,2022,1.826,2.295,1.403,1.612,AMAN
Montenegro,MNE,2023,1.772,2.172,1.403,1.606,AMAN
Morocco,MAR,2019,2.082,2.279,1.998,1.85,WASPADA
Morocco,MAR,2020,2.09,2.307,2.062,1.74,WASPADA
Morocco,MAR,2021,2.038,2.175,2.062,1.759,WASPADA
Morocco,MAR,2022,2.001,2.182,2.016,1.658,WASPADA
Morocco,MAR,2023,2.02,2.256,1.989,1.644,WASPADA
Mozambique,MOZ,2019,2.069,2.528,1.62,1.937,WASPADA
Mozambique,MOZ,2020,2.133,2.601,1.858,1.759,WASPADA
Mozambique,MOZ,2021,2.136,2.555,1.978,1.684,WASPADA
Mozambique,MOZ,2022,2.256,2.777,2.125,1.595,WASPADA
Mozambique,MOZ,2023,2.259,2.789,2.117,1.592,WASPADA
Myanmar,MMR,2019,2.26,2.562,2.424,1.562,WASPADA
Myanmar,MMR,2020,2.218,2.661,2.15,1.571,WASPADA
Myanmar,MMR,2021,2.409,2.9,2.442,1.558,WASPADA
Myanmar,MMR,2022,2.612,3.133,2.535,1.847,WASPADA
Myanmar,MMR,2023,2.741,3.211,2.778,1.921,WASPADA
Namibia,NAM,2019,1.886,2.478,1.201,1.824,AMAN
Namibia,NAM,2020,1.827,2.385,1.201,1.746,AMAN
Namibia,NAM,2021,1.854,2.445,1.201,1.754,AMAN
Namibia,NAM,2022,1.891,2.536,1.201,1.742,AMAN
Namibia,NAM,2023,1.859,2.504,1.201,1.665,AMAN
Nepal,NPL,2019,2.001,2.45,1.49,1.93,WASPADA
Nepal,NPL,2020,2.015,2.466,1.513,1.927,WASPADA
Nepal,NPL,2021,2.021,2.598,1.517,1.71,WASPADA
Nepal,NPL,2022,1.967,2.548,1.517,1.574,AMAN
Nepal,NPL,2023,2.006,2.541,1.577,1.664,WASPADA
Netherlands,NLD,2019,1.49,1.499,1.086,2.044,AMAN
Netherlands,NLD,2020,1.532,1.566,1.088,2.104,AMAN
Netherlands,NLD,2021,1.531,1.554,1.074,2.147,AMAN
Netherlands,NLD,2022,1.521,1.514,1.057,2.205,AMAN
Netherlands,NLD,2023,1.49,1.519,1.055,2.079,AMAN
New Zealand,NZL,2019,1.285,1.55,1.023,1.179,AMAN
New Zealand,NZL,2020,1.294,1.582,1.021,1.159,AMAN
New Zealand,NZL,2021,1.278,1.54,1.009,1.184,AMAN
New Zealand,NZL,2022,1.316,1.639,1.009,1.167,AMAN
New Zealand,NZL,2023,1.313,1.594,1.009,1.236,AMAN
Nicaragua,NIC,2019,2.261,2.834,2.006,1.658,WASPADA
Nicaragua,NIC,2020,2.32,2.985,2.006,1.632,WASPADA
Nicaragua,NIC,2021,2.338,3.01,2.006,1.662,WASPADA
Nicaragua,NIC,2022,2.321,2.901,2.006,1.785,WASPADA
Nicaragua,NIC,2023,2.294,2.881,2.006,1.709,WASPADA
Niger,NER,2019,2.322,2.588,2.459,1.74,WASPADA
Niger,NER,2020,2.498,2.914,2.495,1.846,WASPADA
Niger,NER,2021,2.579,2.976,2.578,1.957,WASPADA
Niger,NER,2022,2.638,2.867,2.813,2.06,WASPADA
Niger,NER,2023,2.625,2.85,2.947,1.853,WASPADA
Nigeria,NGA,2019,2.716,3.062,2.863,2.026,WASPADA
Nigeria,NGA,2020,2.746,2.956,3.059,2.05,WASPADA
Nigeria,NGA,2021,2.645,2.921,2.82,2.033,WASPADA
Nigeria,NGA,2022,2.665,2.995,2.851,1.942,WASPADA
Nigeria,NGA,2023,2.713,3.057,2.882,1.99,WASPADA
North Korea,PRK,2019,2.865,2.968,2.61,3.057,WASPADA
North Korea,PRK,2020,2.939,3.048,2.61,3.224,WASPADA
North Korea,PRK,2021,2.879,2.957,2.61,3.135,WASPADA
North Korea,PRK,2022,2.894,3.016,2.61,3.094,WASPADA
North Korea,PRK,2023,2.848,2.96,2.61,3,WASPADA
North Macedonia,MKD,2019,1.793,2.008,1.627,1.705,AMAN
North Macedonia,MKD,2020,1.807,2.051,1.615,1.701,AMAN
North Macedonia,MKD,2021,1.684,1.925,1.403,1.696,AMAN
North Macedonia,MKD,2022,1.707,1.921,1.403,1.798,AMAN
North Macedonia,MKD,2023,1.713,1.915,1.403,1.835,AMAN
Norway,NOR,2019,1.503,1.217,1.256,2.389,AMAN
Norway,NOR,2020,1.514,1.267,1.249,2.368,AMAN
Norway,NOR,2021,1.486,1.269,1.243,2.257,AMAN
Norway,NOR,2022,1.476,1.259,1.243,2.236,AMAN
Norway,NOR,2023,1.55,1.301,1.448,2.165,AMAN
Oman,OMN,2019,1.928,1.95,1.403,2.715,AMAN
Oman,OMN,2020,1.923,1.942,1.403,2.707,AMAN
Oman,OMN,2021,1.919,1.957,1.403,2.666,AMAN
Oman,OMN,2022,1.915,1.925,1.403,2.705,AMAN
Oman,OMN,2023,1.794,1.863,1.403,2.282,AMAN
Pakistan,PAK,2019,2.799,2.726,3.146,2.543,WASPADA
Pakistan,PAK,2020,2.811,2.661,3.265,2.526,WASPADA
Pakistan,PAK,2021,2.821,2.698,3.238,2.536,WASPADA
Pakistan,PAK,2022,2.792,2.654,3.184,2.562,WASPADA
Pakistan,PAK,2023,2.745,2.767,2.943,2.516,WASPADA
Palestine,PSE,2019,2.418,2.653,2.435,1.991,WASPADA
Palestine,PSE,2020,2.488,2.683,2.619,1.991,WASPADA
Palestine,PSE,2021,2.427,2.539,2.621,1.991,WASPADA
Palestine,PSE,2022,2.405,2.624,2.435,1.991,WASPADA
Palestine,PSE,2023,2.538,2.769,2.659,1.991,WASPADA
Panama,PAN,2019,1.815,2.473,1.201,1.506,AMAN
Panama,PAN,2020,1.87,2.467,1.403,1.485,AMAN
Panama,PAN,2021,1.883,2.458,1.403,1.555,AMAN
Panama,PAN,2022,1.879,2.476,1.403,1.506,AMAN
Panama,PAN,2023,1.942,2.638,1.403,1.476,AMAN
Papua New Guinea,PNG,2019,1.939,2.497,1.403,1.735,AMAN
Papua New Guinea,PNG,2020,1.965,2.481,1.403,1.87,AMAN
Papua New Guinea,PNG,2021,2.03,2.579,1.61,1.696,WASPADA
Papua New Guinea,PNG,2022,2.027,2.613,1.408,1.888,WASPADA
Papua New Guinea,PNG,2023,2.095,2.592,1.618,1.933,WASPADA
Paraguay,PRY,2019,2.096,2.599,1.641,1.891,WASPADA
Paraguay,PRY,2020,2.005,2.49,1.439,2.001,WASPADA
Paraguay,PRY,2021,2.005,2.503,1.421,2.004,WASPADA
Paraguay,PRY,2022,1.989,2.466,1.403,2.03,AMAN
Paraguay,PRY,2023,1.942,2.479,1.403,1.814,AMAN
Peru,PER,2019,1.939,2.437,1.458,1.747,AMAN
Peru,PER,2020,1.993,2.479,1.476,1.871,AMAN
Peru,PER,2021,2.022,2.527,1.476,1.905,WASPADA
Peru,PER,2022,2.122,2.713,1.525,1.924,WASPADA
Peru,PER,2023,2.13,2.729,1.701,1.696,WASPADA
Philippines,PHL,2019,2.407,2.91,2.384,1.666,WASPADA
Philippines,PHL,2020,2.305,2.774,2.245,1.665,WASPADA
Philippines,PHL,2021,2.34,2.816,2.261,1.716,WASPADA
Philippines,PHL,2022,2.288,2.696,2.274,1.695,WASPADA
Philippines,PHL,2023,2.229,2.6,2.23,1.68,WASPADA
Poland,POL,2019,1.58,1.711,1.426,1.575,AMAN
Poland,POL,2020,1.595,1.776,1.414,1.539,AMAN
Poland,POL,2021,1.505,1.6,1.403,1.496,AMAN
Poland,POL,2022,1.54,1.689,1.403,1.484,AMAN
Poland,POL,2023,1.634,1.71,1.604,1.542,AMAN
Portugal,PRT,2019,1.277,1.444,1.064,1.269,AMAN
Portugal,PRT,2020,1.279,1.437,1.08,1.264,AMAN
Portugal,PRT,2021,1.336,1.54,1.096,1.296,AMAN
Portugal,PRT,2022,1.334,1.529,1.115,1.278,AMAN
Portugal,PRT,2023,1.333,1.546,1.138,1.211,AMAN
Qatar,QAT,2019,1.639,1.503,1.54,2.04,AMAN
Qatar,QAT,2020,1.651,1.525,1.54,2.052,AMAN
Qatar,QAT,2021,1.601,1.488,1.339,2.202,AMAN
Qatar,QAT,2022,1.535,1.422,1.293,2.115,AMAN
Qatar,QAT,2023,1.524,1.439,1.247,2.104,AMAN
Republic of the Congo,COG,2019,2.238,2.832,1.669,2,WASPADA
Republic of the Congo,COG,2020,2.243,2.796,1.687,2.061,WASPADA
Republic of the Congo,COG,2021,2.269,2.778,1.693,2.197,WASPADA
Republic of the Congo,COG,2022,2.223,2.676,1.698,2.181,WASPADA
Republic of the Congo,COG,2023,2.21,2.788,1.706,1.911,WASPADA
Romania,ROU,2019,1.543,1.783,1.083,1.78,AMAN
Romania,ROU,2020,1.554,1.834,1.099,1.713,AMAN
Romania,ROU,2021,1.559,1.814,1.115,1.749,AMAN
Romania,ROU,2022,1.666,1.792,1.517,1.646,AMAN
Romania,ROU,2023,1.649,1.745,1.54,1.624,AMAN
Russia,RUS,2019,3.043,3.059,2.885,3.237,BAHAYA
Russia,RUS,2020,2.971,2.888,2.898,3.226,WASPADA
Russia,RUS,2021,2.973,2.91,2.874,3.226,WASPADA
Russia,RUS,2022,2.994,2.972,2.87,3.211,WASPADA
Russia,RUS,2023,3.142,2.838,3.445,3.187,BAHAYA
Rwanda,RWA,2019,1.95,2.29,1.75,1.613,AMAN
Rwanda,RWA,2020,1.968,2.363,1.742,1.563,AMAN
Rwanda,RWA,2021,2.061,2.321,2.112,1.512,WASPADA
Rwanda,RWA,2022,2.039,2.36,1.987,1.512,WASPADA
Rwanda,RWA,2023,2.051,2.407,1.967,1.504,WASPADA
Saudi Arabia,SAU,2019,2.405,2.225,2.568,2.599,WASPADA
Saudi Arabia,SAU,2020,2.369,2.25,2.485,2.514,WASPADA
Saudi Arabia,SAU,2021,2.377,2.282,2.416,2.581,WASPADA
Saudi Arabia,SAU,2022,2.322,2.188,2.365,2.587,WASPADA
Saudi Arabia,SAU,2023,2.26,2.137,2.184,2.694,WASPADA
Senegal,SEN,2019,1.783,2.053,1.691,1.471,AMAN
Senegal,SEN,2020,1.754,1.988,1.513,1.697,AMAN
Senegal,SEN,2021,1.798,2.085,1.517,1.699,AMAN
Senegal,SEN,2022,1.851,2.134,1.517,1.83,AMAN
Senegal,SEN,2023,1.827,2.174,1.54,1.625,AMAN
Serbia,SRB,2019,1.751,1.882,1.659,1.659,AMAN
Serbia,SRB,2020,1.8,1.966,1.677,1.682,AMAN
Serbia,SRB,2021,1.802,1.916,1.677,1.78,AMAN
Serbia,SRB,2022,1.862,2.047,1.677,1.802,AMAN
Serbia,SRB,2023,1.921,2.003,1.897,1.846,AMAN
Sierra Leone,SLE,2019,1.817,2.199,1.485,1.619,AMAN
Sierra Leone,SLE,2020,1.864,2.224,1.497,1.754,AMAN
Sierra Leone,SLE,2021,1.844,2.245,1.501,1.627,AMAN
Sierra Leone,SLE,2022,1.803,2.216,1.501,1.509,AMAN
Sierra Leone,SLE,2023,1.792,2.244,1.506,1.406,AMAN
Singapore,SGP,2019,1.346,1.255,1.011,2.02,AMAN
Singapore,SGP,2020,1.327,1.246,1,1.971,AMAN
Singapore,SGP,2021,1.341,1.309,1,1.919,AMAN
Singapore,SGP,2022,1.345,1.327,1,1.902,AMAN
Singapore,SGP,2023,1.332,1.3,1,1.897,AMAN
Slovakia,SVK,2019,1.519,1.675,1.426,1.386,AMAN
Slovakia,SVK,2020,1.539,1.715,1.414,1.416,AMAN
Slovakia,SVK,2021,1.548,1.822,1.403,1.26,AMAN
Slovakia,SVK,2022,1.508,1.737,1.403,1.244,AMAN
Slovakia,SVK,2023,1.578,1.721,1.604,1.271,AMAN
Slovenia,SVN,2019,1.319,1.297,1.426,1.205,AMAN
Slovenia,SVN,2020,1.308,1.291,1.414,1.188,AMAN
Slovenia,SVN,2021,1.298,1.302,1.403,1.145,AMAN
Slovenia,SVN,2022,1.31,1.329,1.403,1.145,AMAN
Slovenia,SVN,2023,1.334,1.339,1.403,1.23,AMAN
Somalia,SOM,2019,3.005,3.428,3.016,2.26,BAHAYA
Somalia,SOM,2020,3.053,3.481,3.095,2.264,BAHAYA
Somalia,SOM,2021,3.1,3.476,3.311,2.153,BAHAYA
Somalia,SOM,2022,3.068,3.491,3.326,1.973,BAHAYA
Somalia,SOM,2023,3.036,3.641,3.131,1.857,BAHAYA
South Africa,ZAF,2019,2.442,3.285,1.824,1.838,WASPADA
South Africa,ZAF,2020,2.358,3.174,1.772,1.768,WASPADA
South Africa,ZAF,2021,2.358,3.208,1.745,1.742,WASPADA
South Africa,ZAF,2022,2.305,3.074,1.818,1.656,WASPADA
South Africa,ZAF,2023,2.405,3.112,2.083,1.648,WASPADA
South Korea,KOR,2019,1.794,1.614,1.828,2.042,AMAN
South Korea,KOR,2020,1.747,1.483,1.817,2.102,AMAN
South Korea,KOR,2021,1.814,1.547,1.805,2.286,AMAN
South Korea,KOR,2022,1.791,1.502,1.805,2.268,AMAN
South Korea,KOR,2023,1.763,1.485,1.805,2.182,AMAN
South Sudan,SSD,2019,3.272,3.864,3.099,2.476,BAHAYA
South Sudan,SSD,2020,3.278,3.847,3.089,2.548,BAHAYA
South Sudan,SSD,2021,3.21,3.756,2.994,2.558,BAHAYA
South Sudan,SSD,2022,3.191,3.837,3.005,2.319,BAHAYA
South Sudan,SSD,2023,3.221,3.835,3.08,2.347,BAHAYA
Spain,ESP,2019,1.677,1.841,1.404,1.803,AMAN
Spain,ESP,2020,1.605,1.807,1.28,1.724,AMAN
Spain,ESP,2021,1.627,1.831,1.296,1.748,AMAN
Spain,ESP,2022,1.637,1.834,1.324,1.744,AMAN
Spain,ESP,2023,1.649,1.836,1.352,1.751,AMAN
Sri Lanka,LKA,2019,1.989,2.336,1.668,1.87,AMAN
Sri Lanka,LKA,2020,2.039,2.429,1.696,1.872,WASPADA
Sri Lanka,LKA,2021,2.144,2.372,1.976,2.045,WASPADA
Sri Lanka,LKA,2022,2.027,2.317,1.736,1.969,WASPADA
Sri Lanka,LKA,2023,2.136,2.442,1.763,2.156,WASPADA
Sudan,SDN,2019,2.777,3.119,2.893,2.053,WASPADA
Sudan,SDN,2020,2.867,3.232,2.891,2.219,WASPADA
Sudan,SDN,2021,2.880,3.186,2.962,2.237,WASPADA
Sudan,SDN,2022,2.994,3.242,3.175,2.327,WASPADA
Sudan,SDN,2023,3.023,3.25,3.263,2.318,BAHAYA
Sweden,SWE,2019,1.523,1.483,1.34,1.849,AMAN
Sweden,SWE,2020,1.512,1.532,1.308,1.754,AMAN
Sweden,SWE,2021,1.521,1.522,1.319,1.792,AMAN
Sweden,SWE,2022,1.591,1.486,1.539,1.828,AMAN
Sweden,SWE,2023,1.625,1.528,1.562,1.864,AMAN
Switzerland,CHE,2019,1.373,1.29,1.023,2.024,AMAN
Switzerland,CHE,2020,1.365,1.264,1.032,2.023,AMAN
Switzerland,CHE,2021,1.378,1.353,1.041,1.904,AMAN
Switzerland,CHE,2022,1.362,1.36,1.041,1.824,AMAN
Switzerland,CHE,2023,1.339,1.31,1.046,1.808,AMAN
Syria,SYR,2019,3.298,3.527,3.828,2.216,BAHAYA
Syria,SYR,2020,3.299,3.577,3.828,2.13,BAHAYA
Syria,SYR,2021,3.281,3.541,3.828,2.12,BAHAYA
Syria,SYR,2022,3.371,3.892,3.633,2.12,BAHAYA
Syria,SYR,2023,3.294,3.842,3.46,2.116,BAHAYA
Taiwan,TWN,2019,1.718,1.747,1.604,1.839,AMAN
Taiwan,TWN,2020,1.683,1.713,1.604,1.746,AMAN
Taiwan,TWN,2021,1.66,1.668,1.604,1.726,AMAN
Taiwan,TWN,2022,1.647,1.634,1.604,1.737,AMAN
Taiwan,TWN,2023,1.649,1.638,1.604,1.703,AMAN
Tajikistan,TJK,2019,2.144,2.5,2.016,1.75,WASPADA
Tajikistan,TJK,2020,2.138,2.474,2.068,1.704,WASPADA
Tajikistan,TJK,2021,2.043,2.282,2.028,1.704,WASPADA
Tajikistan,TJK,2022,2.057,2.321,2.028,1.695,WASPADA
Tajikistan,TJK,2023,2.114,2.365,2.174,1.663,WASPADA
Tanzania,TZA,2019,1.916,2.342,1.674,1.504,AMAN
Tanzania,TZA,2020,1.902,2.371,1.619,1.473,AMAN
Tanzania,TZA,2021,1.963,2.354,1.675,1.686,AMAN
Tanzania,TZA,2022,2.051,2.447,1.903,1.579,WASPADA
Tanzania,TZA,2023,2.058,2.367,1.901,1.741,WASPADA
Thailand,THA,2019,2.181,2.815,1.889,1.499,WASPADA
Thailand,THA,2020,2.178,2.815,1.893,1.484,WASPADA
Thailand,THA,2021,2.154,2.76,1.868,1.517,WASPADA
Thailand,THA,2022,2.131,2.745,1.843,1.482,WASPADA
Thailand,THA,2023,2.061,2.599,1.841,1.454,WASPADA
The Gambia,GMB,2019,1.909,2.379,1.462,1.707,AMAN
The Gambia,GMB,2020,1.931,2.382,1.49,1.757,AMAN
The Gambia,GMB,2021,1.874,2.173,1.517,1.852,AMAN
The Gambia,GMB,2022,1.83,2.181,1.517,1.655,AMAN
The Gambia,GMB,2023,1.888,2.272,1.54,1.703,AMAN
Timor-Leste,TLS,2019,1.759,2.131,1.403,1.621,AMAN
Timor-Leste,TLS,2020,1.798,2.246,1.403,1.576,AMAN
Timor-Leste,TLS,2021,1.79,2.177,1.403,1.667,AMAN
Timor-Leste,TLS,2022,1.837,2.214,1.403,1.798,AMAN
Timor-Leste,TLS,2023,1.796,2.182,1.403,1.682,AMAN
Togo,TGO,2019,2.106,2.505,1.874,1.756,WASPADA
Togo,TGO,2020,2.105,2.389,1.897,1.926,WASPADA
Togo,TGO,2021,2.17,2.485,1.92,1.994,WASPADA
Togo,TGO,2022,2.134,2.493,1.92,1.831,WASPADA
Togo,TGO,2023,2.13,2.495,1.961,1.749,WASPADA
Trinidad and Tobago,TTO,2019,2.045,2.676,1.201,2.161,WASPADA
Trinidad and Tobago,TTO,2020,2.016,2.669,1.201,2.051,WASPADA
Trinidad and Tobago,TTO,2021,2.024,2.654,1.201,2.106,WASPADA
Trinidad and Tobago,TTO,2022,1.979,2.669,1.201,1.891,AMAN
Trinidad and Tobago,TTO,2023,1.946,2.622,1.201,1.84,AMAN
Tunisia,TUN,2019,1.928,2.278,1.725,1.633,AMAN
Tunisia,TUN,2020,1.956,2.224,1.747,1.816,AMAN
Tunisia,TUN,2021,1.964,2.275,1.751,1.75,AMAN
Tunisia,TUN,2022,1.998,2.407,1.724,1.69,AMAN
Tunisia,TUN,2023,2.01,2.417,1.742,1.694,WASPADA
Turkiye,TUR,2019,2.736,2.932,3.088,1.928,WASPADA
Turkiye,TUR,2020,2.758,3.045,3.021,1.918,WASPADA
Turkiye,TUR,2021,2.731,2.943,3.033,1.971,WASPADA
Turkiye,TUR,2022,2.755,3.015,3.016,1.957,WASPADA
Turkiye,TUR,2023,2.8,3.077,3.088,1.917,WASPADA
Turkmenistan,TKM,2019,2.223,2.65,1.805,2.111,WASPADA
Turkmenistan,TKM,2020,2.189,2.484,1.805,2.262,WASPADA
Turkmenistan,TKM,2021,2.136,2.497,1.604,2.306,WASPADA
Turkmenistan,TKM,2022,2.125,2.446,1.604,2.351,WASPADA
Turkmenistan,TKM,2023,2.107,2.55,1.604,2.088,WASPADA
Uganda,UGA,2019,2.238,2.694,1.962,1.791,WASPADA
Uganda,UGA,2020,2.345,2.716,2.202,1.85,WASPADA
Uganda,UGA,2021,2.326,2.777,2.133,1.76,WASPADA
Uganda,UGA,2022,2.346,2.982,1.856,1.884,WASPADA
Uganda,UGA,2023,2.3,2.914,1.844,1.835,WASPADA
Ukraine,UKR,2019,2.752,2.953,3.021,2.065,WASPADA
Ukraine,UKR,2020,2.724,2.961,2.965,2.026,WASPADA
Ukraine,UKR,2021,2.524,2.679,2.714,2.024,WASPADA
Ukraine,UKR,2022,2.686,2.878,2.89,2.129,WASPADA
Ukraine,UKR,2023,3.043,3.12,3.47,2.349,BAHAYA
United Arab Emirates,ARE,2019,1.886,1.796,1.598,2.493,AMAN
United Arab Emirates,ARE,2020,2.022,1.833,1.833,2.649,WASPADA
United Arab Emirates,ARE,2021,1.98,1.836,1.701,2.63,AMAN
United Arab Emirates,ARE,2022,1.979,1.854,1.689,2.611,AMAN
United Arab Emirates,ARE,2023,1.979,1.85,1.678,2.633,AMAN
United Kingdom,GBR,2019,1.711,1.715,1.11,2.546,AMAN
United Kingdom,GBR,2020,1.778,1.761,1.305,2.489,AMAN
United Kingdom,GBR,2021,1.708,1.732,1.134,2.481,AMAN
United Kingdom,GBR,2022,1.699,1.735,1.131,2.443,AMAN
United Kingdom,GBR,2023,1.693,1.723,1.12,2.452,AMAN
United States of America,USA,2019,2.395,2.227,2.094,3.104,WASPADA
United States of America,USA,2020,2.372,2.241,2.016,3.086,WASPADA
United States of America,USA,2021,2.539,2.573,2.016,3.19,WASPADA
United States of America,USA,2022,2.439,2.398,1.994,3.114,WASPADA
United States of America,USA,2023,2.448,2.438,1.994,3.081,WASPADA
Uruguay,URY,2019,1.679,2.239,1,1.653,AMAN
Uruguay,URY,2020,1.688,2.29,1,1.598,AMAN
Uruguay,URY,2021,1.782,2.513,1,1.592,AMAN
Uruguay,URY,2022,1.791,2.473,1,1.7,AMAN
Uruguay,URY,2023,1.798,2.528,1,1.634,AMAN
Uzbekistan,UZB,2019,2.044,2.257,1.805,2.046,WASPADA
Uzbekistan,UZB,2020,2.07,2.256,1.805,2.155,WASPADA
Uzbekistan,UZB,2021,2.058,2.227,1.805,2.157,WASPADA
Uzbekistan,UZB,2022,2.01,2.226,1.805,1.959,WASPADA
Uzbekistan,UZB,2023,2.033,2.361,1.805,1.812,WASPADA
Venezuela,VEN,2019,2.734,3.678,2.24,1.817,WASPADA
Venezuela,VEN,2020,2.701,3.533,2.246,1.923,WASPADA
Venezuela,VEN,2021,2.757,3.639,2.246,1.966,WASPADA
Venezuela,VEN,2022,2.683,3.581,2.028,2.045,WASPADA
Venezuela,VEN,2023,2.693,3.544,2.086,2.073,WASPADA
Vietnam,VNM,2019,1.902,2.2,1.421,2.036,AMAN
Vietnam,VNM,2020,1.96,2.358,1.421,1.996,AMAN
Vietnam,VNM,2021,1.828,2.135,1.421,1.843,AMAN
Vietnam,VNM,2022,1.789,2.112,1.403,1.75,AMAN
Vietnam,VNM,2023,1.745,2.053,1.403,1.672,AMAN
Yemen,YEM,2019,3.34,3.659,3.603,2.445,BAHAYA
Yemen,YEM,2020,3.34,3.853,3.501,2.225,BAHAYA
Yemen,YEM,2021,3.351,3.913,3.377,2.322,BAHAYA
Yemen,YEM,2022,3.404,4.024,3.354,2.377,BAHAYA
Yemen,YEM,2023,3.35,3.9,3.486,2.235,BAHAYA
Zambia,ZMB,2019,1.773,2.296,1.256,1.6,AMAN
Zambia,ZMB,2020,1.819,2.427,1.286,1.516,AMAN
Zambia,ZMB,2021,1.94,2.366,1.7,1.519,AMAN
Zambia,ZMB,2022,1.871,2.359,1.52,1.51,AMAN
Zambia,ZMB,2023,1.898,2.38,1.577,1.503,AMAN
Zimbabwe,ZWE,2019,2.31,2.709,2.006,2.079,WASPADA
Zimbabwe,ZWE,2020,2.322,2.755,2.006,2.033,WASPADA
Zimbabwe,ZWE,2021,2.306,2.726,2.006,2.034,WASPADA
